PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan
136.07,118.8,997.57,141,87,0.35,1
130.61,122.41,1108.83,73,1,0.37,1
40.71,39.89,140.23,17,1,0.36,1
161.7,132.64,1654.88,143,1,0.36,1
55.02,54.61,364.31,21,1,0.34,1
218.68,169.39,36500,132,1,0.37,0
24.8,22.71,67.01,18,189,0.36,0
44.59,44,176.79,18,1,0.34,1
79.2,59.62,4691.19,27,190,0.38,0
102,99.4,38868.7,51,195,0.37,0
44.63,44.04,180.6,18,1,0.35,1
101.37,96.44,33818.3,35,191,0.38,0
115.35,98.78,550.78,124,87,0.35,1
101.29,97.5,35750.18,38,191,0.38,0
50.94,50.55,288.52,19,1,0.34,1
161.45,134.85,1305.68,115,1,0.35,1
41.77,40.76,143.35,17,1,0.34,1
50.84,50.44,19.08,19,1,0.33,1
101.81,98.24,35750.18,40,192,0.37,0
57.43,56.84,438.72,22,1,0.34,1
267.85,185.36,36770.32,160,1,0.39,0
101.59,98.55,36338.45,42,192,0.36,0
76.9,74.89,634.04,27,1,0.35,1
98.51,79.04,344.62,112,86,0.34,1
101.67,98.75,40119.41,43,192,0.38,0
63.26,62.25,486.82,24,1,0.35,1
101.93,99.55,37589.32,53,195,0.38,0
101.85,99.32,36987.54,49,194,0.37,0
102.04,98.9,37975.66,49,194,0.38,0
65.05,63.92,556.88,24,1,0.35,1
101.78,97.7,33920.91,39,191,0.36,0
43.87,42.95,164.58,18,1,0.34,1
62.17,61.28,481.29,23,1,0.35,1
67.55,66.29,503.69,25,1,0.34,1
101.14,96.28,34853.64,34,191,0.36,0
101.96,99.48,38086.54,52,196,0.4,0
78.88,76.66,637.42,28,1,0.36,1
39.89,38.92,115.58,17,1,0.35,1
41.68,40.61,148.69,17,1,0.34,1
51.83,51.45,301.83,20,1,0.34,1
38.7,32.43,158.75,21,190,0.34,0
101.67,98.86,36662.03,44,191,0.38,0
101.55,98.94,36987.54,51,194,0.36,0
100.16,93.96,31223.25,31,191,0.36,0
55.35,54.83,351.09,21,1,0.35,1
